Timestamp	id	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
30930009	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	30930009	30930009	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	54864	1
31878582	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	31878582	31878582	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	150189	1
32878732	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	32878732	32878732	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	172564	1
33878593	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	33878593	33878593	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1060291.158	1
34878222	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	34878222	34878222	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1102466.158	1
35878496	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	35878496	35878496	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1123816.158	1
36878441	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	36878441	36878441	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1312610.448	1
37878569	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	37878569	37878569	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1333685.448	1
38879223	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	38879223	38879223	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1574504.737	1
39878375	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	39878375	39878375	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1798349.027	1
40878524	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	40878524	40878524	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	1887249.027	1
41878654	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	41878654	41878654	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2090943.316	1
42879069	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	42879069	42879069	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2105868.316	1
43877906	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	43877906	43877906	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2279362.606	1
44878415	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	44878415	44878415	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2473437.606	1
45878537	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	45878537	45878537	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2532281.896	1
46879031	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	46879031	46879031	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2572206.896	1
47878613	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	47878613	47878613	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2609381.896	1
48878714	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	48878714	48878714	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	2848076.185	1
49878410	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	49878410	49878410	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3161270.475	1
50879040	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	50879040	50879040	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3186870.475	1
51878826	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	51878826	51878826	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3323389.764	1
52879154	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	52879154	52879154	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3439489.764	1
