Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
4432600	4000		0	0	0	0	0	0	0	0	4432600	4432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	9300322.231	1
6432600	4000		0	0	0	0	0	0	0	0	6432600	6432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	10732389.88	1
8432600	4000		0	0	0	0	0	0	0	0	8432600	8432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	11811956.65	1
10432600	4000		0	0	0	0	0	0	0	0	10432600	10432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	19302323.29	1
12432600	4000		0	0	0	0	0	0	0	0	12432600	12432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	20905128.88	1
14432600	4000		0	0	0	0	0	0	0	0	14432600	14432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	20930548.88	1
16432600	4000		0	0	0	0	0	0	0	0	16432600	16432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	21070953.88	1
18432600	4000		0	0	0	0	0	0	0	0	18432600	18432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	21081766.38	1
20432600	4000		0	0	0	0	0	0	0	0	20432600	20432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	22867254.92	1
22432600	4000		0	0	0	0	0	0	0	0	22432600	22432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	23389228.3	1
24432600	4000		0	0	0	0	0	0	0	0	24432600	24432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	25241933.08	1
26432600	4000		0	0	0	0	0	0	0	0	26432600	26432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	26188503.6	1
28432600	4000		0	0	0	0	0	0	0	0	28432600	28432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	26720644.48	1
30432600	4000		0	0	0	0	0	0	0	0	30432600	30432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	30337766.11	1
32432600	4000		0	0	0	0	0	0	0	0	32432600	32432600	0	1	C:\DataWave\Sounds\bat_HRstrings\BACKGROUND.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	33167008.91	1
34432600	4000		0	0	0	1000	0	0	0	0	34432600	34432600	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34081048.18	1
36427763	4000		0	0	0	1000	0	0	0	0	36427763	36427763	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34093215.68	1
38427442	4000		0	0	0	1000	0	0	0	0	38427442	38427442	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34099018.18	1
40427294	4000		0	0	0	1000	0	0	0	0	40427294	40427294	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34099318.18	1
42428077	4000		0	0	0	1000	0	0	0	0	42428077	42428077	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34128928.18	1
44428302	4000		0	0	0	1000	0	0	0	0	44428302	44428302	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34440980.32	1
46428085	4000		0	0	0	1000	0	0	0	0	46428085	46428085	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34445380.32	1
48428028	4000		0	0	0	1000	0	0	0	0	48428028	48428028	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34460144.07	1
50428094	4000		0	0	0	1000	0	0	0	0	50428094	50428094	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34465759.07	1
52428243	4000		0	0	0	1000	0	0	0	0	52428243	52428243	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34466559.07	1
54428459	4000		0	0	0	1000	0	0	0	0	54428459	54428459	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34471084.07	1
56428965	4000		0	0	0	1000	0	0	0	0	56428965	56428965	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34471859.07	1
58428338	4000		0	0	0	1000	0	0	0	0	58428338	58428338	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34478609.07	1
60429124	4000		0	0	0	1000	0	0	0	0	60429124	60429124	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34483355.32	1
62428013	4000		0	0	0	1000	0	0	0	0	62428013	62428013	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34485514.07	1
64427746	4000		0	0	0	1000	0	0	0	0	64427746	64427746	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34494934.07	1
66428058	4000		0	0	0	1000	0	0	0	0	66428058	66428058	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34495459.07	1
68428904	4000		0	0	0	1000	0	0	0	0	68428904	68428904	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34499409.07	1
70428144	4000		0	0	0	1000	0	0	0	0	70428144	70428144	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34523480.32	1
